영화제목,아이디,평점,댓글
모가디슈,g515****,10,진짜  재밌게봤어요 오랜만에  영화다운 영화본기분이였어요 최고입니다
새콤달콤,qzpl****,8,이 영화는 반전이 했다 ㅋㅋㅋ 소소하게 보기 좋네요 장기용 얼굴이 제일 재밋긴해요
차인표,arch****,10,차인표씨를 다시 보게하는 영화..간만에 많이 웃었네요.
분노의 질주: 더 얼티메이트,ehuh****,2,정말 진짜 안드로메다로 가는구나점점 개연성도 없고갑자기 남동생은 왜 나와 이야기 이으려고 애쓴다 그리고 우주는 왜가니 폴워커를 떠나보냈던 7편에서 질주를 멈췄어야했다
나의 붉은 고래,dxko****,4,"지가 원하면 해야하네 , 게 민폐 소녀 네"
모가디슈,yuye****,10,오랜만에 영화관에서 보고 왔는데 돈 아깝지 않아요. 억지눈물 짜내는 것 없이 담백한 내용입니다.
천재강아지 미스터 피바디,brix****,1,감상포인트를 추천하기 힘들다..
모가디슈,kimj****,1,"재미도 감동도 없음. 리뷰 좋아서 봤는데 시간 돈 다 아까움. 가격 거의 두배로 올랐는데. 리뷰 알바인듯. 왕짜증,"
블랙 위도우,tjdb****,10,
모가디슈,allm****,1,예언과도 같았던 목포출신 정만식의 영화 속 삽질.
천재강아지 미스터 피바디,sury****,1,난장판 산만한 어린이용 애니
꽃다발 같은 사랑을 했다,ckdd****,10,"내 인생 최고의 연애영화, 풋풋하면서 가장 현실적인 영화"
정글 크루즈,m2a3****,10,역시 기대이상 믿고 보는 디즈니
방법: 재차의,rtyy****,2,재차의들이 단체로 택시운전한 이후로 몰입도가 떨어지고 결말은....
정글 크루즈,e0ha****,8,어른을 위한 어드벤처 동화를 본 것 같아요:)
블랙 위도우,medi****,6,주인공들 체력이 너무 떨어져 보임.
방법: 재차의,anny****,10,내용이 풍부하고 추리하는게 재밋어요
모가디슈,thep****,10,극장에서 보고왔는데 너무 재밌었습니다 !!
모가디슈,kimd****,1,만식페미행님 안녕하십니까 형님좋아해서 영화보러왓는데 영화는 너무 별로엿네요
모가디슈,prit****,10,"믿고보늗 배우 김윤석   볼수록 더 멋있는 조인성   탄탄한 스토리, 연출   코로나만 아니었어도 1000만 갔을텐데...."
랑종,off5****,8,평이 엄청 안좋아서 기대안하고 갔는데 욕할정도로 재미없진않은데...? 컨저링3보고 실망을 너무 많이해서 그런가 컨저링보다 훨씬 재밌었음
인랑,cell****,1,
방법: 재차의,ly94****,1,개연성이 하나도 없어요 보는 내내 이게 뭐지? 하는 느낌
제8일의 밤,miri****,10,너무 재밌게 봤어요 나름 반전도 있고ㅎㅎ
좀비크러쉬: 헤이리,imag****,10,
블랙 위도우,easy****,10,다시 봐도 재밌을듯
블러드 레드 스카이,inso****,8,"지루하다는 댓글들이 꽤 있어서, 미루다가 오늘에야 봤는데, 나름 재미있게 봤다."
랑종,uijk****,5,배우들의 연기 하나만큼은 정말 칭찬해주고 싶지만 그 외 다른것들이 영....
무간도,imyj****,10,양조의 눈빛이 다 했다.
블랙 위도우,sup1****,10,마블 영화는 역시 진리!!
블랙 위도우,lacv****,10,스칼렛 요한슨 최고입니다~ 마지막이라니 아쉽네요ㅜㅠ
모가디슈,4888****,10,일단 믿고보는 배우들 ... 너무 멋있는 연기였습니다 ! 팝콘고ㅏ 음료도 없이 보았는데도 불구하고 시간이 이렇게 빨리지나가네요 ...몰입도 짱짱
방법: 재차의,dara****,10,드라마 이어지는거임. 후속작 기대ㅋ 졸잼ㅋㅋ
정글 크루즈,d43c****,10,디즈니 영화! 가볍게 볼만합니다~!
모가디슈,hans****,10,오랜만에 영화를 봤습니다.시간가는줄 모르고 재밌게 봤습니다.북한 사람의 말에 한글 자막처리 되는부분은 이해가 안갔습니다
조 블랙의 사랑,high****,10,인생작입니다. 평점 높은 이유가 있어요.
